envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
210	2682000	2970000	2490000	2850000	2490000	2610000	
211	2679000	2967000	2487000	2847000	2487000	2607000	
212	2676000	2964000	2484000	2844000	2484000	2604000	
213	2697000	2961000	2601000	2841000	2481000	2601000	
214	2742000	2958000	2718000	2958000	2478000	2598000	
215	2739000	2955000	2715000	2955000	2475000	2595000	
216	2760000	2952000	2712000	2952000	2592000	2592000	
217	2757000	2949000	2709000	2949000	2589000	2589000	
218	2802000	3066000	2706000	2946000	2586000	2706000	
219	2799000	3063000	2703000	2943000	2583000	2703000	
220	2796000	3060000	2700000	2940000	2580000	2700000	
221	2817000	3057000	2697000	2937000	2697000	2697000	
222	2814000	3054000	2694000	2934000	2694000	2694000	
223	2811000	3051000	2691000	2931000	2691000	2691000	
224	2832000	3168000	2688000	2928000	2688000	2688000	
225	2853000	3165000	2685000	2925000	2685000	2805000	
226	2874000	3162000	2802000	2922000	2682000	2802000	
227	2895000	3159000	2799000	2919000	2799000	2799000	
228	2916000	3276000	2796000	2916000	2796000	2796000	
229	2913000	3273000	2793000	2913000	2793000	2793000	
230	2934000	3270000	2790000	3030000	2790000	2790000	
231	3003000	3267000	2787000	3147000	2907000	2907000	
232	3e+06	3264000	2784000	3144000	2904000	2904000	
233	2997000	3261000	2781000	3141000	2901000	2901000	
234	2994000	3258000	2778000	3138000	2898000	2898000	
235	2991000	3255000	2775000	3135000	2895000	2895000	
236	2988000	3252000	2772000	3132000	2892000	2892000	
237	3009000	3249000	2889000	3129000	2889000	2889000	
238	3006000	3246000	2886000	3126000	2886000	2886000	
239	3027000	3243000	2883000	3243000	2883000	2883000	
240	3096000	3240000	3e+06	3360000	3e+06	2880000	
241	3117000	3237000	3117000	3357000	2997000	2877000	
242	3162000	3354000	3234000	3354000	2994000	2874000	
243	3159000	3351000	3231000	3351000	2991000	2871000	
244	3180000	3468000	3228000	3348000	2988000	2868000	
245	3201000	3465000	3345000	3345000	2985000	2865000	
246	3198000	3462000	3342000	3342000	2982000	2862000	
247	3195000	3459000	3339000	3339000	2979000	2859000	
248	3216000	3456000	3336000	3336000	2976000	2976000	
