envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
194	2154000	2058000	1938000	2418000	2298000	2058000	
195	2199000	2175000	1935000	2535000	2295000	2055000	
196	2196000	2172000	1932000	2532000	2292000	2052000	
197	2217000	2169000	1929000	2649000	2289000	2049000	
198	2238000	2166000	2046000	2646000	2286000	2046000	
199	2235000	2163000	2043000	2643000	2283000	2043000	
200	2232000	2160000	2040000	2640000	2280000	2040000	
201	2301000	2277000	2157000	2637000	2277000	2157000	
202	2298000	2274000	2154000	2634000	2274000	2154000	
203	2367000	2391000	2271000	2631000	2271000	2271000	
204	2388000	2388000	2268000	2628000	2388000	2268000	
205	2385000	2385000	2265000	2625000	2385000	2265000	
206	2382000	2382000	2262000	2622000	2382000	2262000	
207	2403000	2379000	2379000	2619000	2379000	2259000	
208	2400000	2376000	2376000	2616000	2376000	2256000	
209	2421000	2373000	2373000	2733000	2373000	2253000	
210	2442000	2490000	2370000	2730000	2370000	2250000	
211	2463000	2487000	2367000	2847000	2367000	2247000	
212	2460000	2484000	2364000	2844000	2364000	2244000	
213	2457000	2481000	2361000	2841000	2361000	2241000	
214	2454000	2478000	2358000	2838000	2358000	2238000	
215	2499000	2475000	2355000	2955000	2475000	2235000	
216	2520000	2472000	2472000	2952000	2472000	2232000	
217	2517000	2469000	2469000	2949000	2469000	2229000	
218	2538000	2466000	2586000	2946000	2466000	2226000	
219	2559000	2463000	2583000	2943000	2583000	2223000	
220	2604000	2580000	2580000	2940000	2580000	2340000	
221	2649000	2577000	2697000	2937000	2577000	2457000	
222	2670000	2574000	2694000	2934000	2694000	2454000	
223	2691000	2571000	2691000	2931000	2691000	2571000	
224	2712000	2688000	2688000	2928000	2688000	2568000	
225	2709000	2685000	2685000	2925000	2685000	2565000	
226	2706000	2682000	2682000	2922000	2682000	2562000	
227	2703000	2679000	2679000	2919000	2679000	2559000	
228	2700000	2676000	2676000	2916000	2676000	2556000	
229	2697000	2673000	2673000	2913000	2673000	2553000	
230	2694000	2670000	2670000	2910000	2670000	2550000	
